,classification
RECEPTOR,420
IMMUNOGLOBULIN,406
LECTIN,401
ANTIBIOTIC,365
SPLICING,341
HYDROLASE/INHIBITOR,340
ENDOCYTOSIS,333
LIPID TRANSPORT,328
"Structural Genomics, Unknown Function",325
NUCLEAR PROTEIN,307
HYDROLASE/ANTIBIOTIC,303
HYDROLASE/HYDROLASE inhibitor,296
CELL INVASION,293
FLAVOPROTEIN,286
ALLERGEN,275
LIGASE/LIGASE INHIBITOR,269
HYDROLASE/HYDROLASE ACTIVATOR,263
HYDROLASE/IMMUNE SYSTEM,260
HYDROLASE (O-GLYCOSYL),258
BIOTIN-BINDING PROTEIN,252
HYDROLASE/TRANSPORT PROTEIN,250
TRANSPORT PROTEIN/ISOMERASE,248
HYDROLASE/HYDROLASE Inhibitor,237
HORMONE RECEPTOR,235
HYDROLASE/PROTEIN BINDING,233
"ELECTRON TRANSPORT, PHOTOSYNTHESIS",230
TRANSFERASE/INHIBITOR,226
ISOMERASE/IMMUNOSUPPRESSANT,217
ENDOCYTOSIS/EXOCYTOSIS,217
Hydrolase/Hydrolase inhibitor,217
"MEMBRANE PROTEIN, TRANSPORT PROTEIN",215
ISOMERASE/ISOMERASE INHIBITOR,212
IMMUNE SYSTEM/VIRAL PROTEIN,210
VIRUS/IMMUNE SYSTEM,203
TRANSFERASE/ANTIBIOTIC,202
TRANSCRIPTION REGULATION,197
"Structural Genomics, Unknown function",195
RECOMBINATION,192
DIOXYGENASE,189
HYDROLASE/PEPTIDE,188
IRON STORAGE,187
RIBOSOMAL PROTEIN,187
ACETYLCHOLINE-BINDING PROTEIN,180
PHOSPHOTRANSFERASE,180
HYDROLASE(O-GLYCOSYL),180
"Structural genomics, unknown function",166
TRANSPORT,160
"ELECTRON TRANSPORT,PHOTOSYNTHESIS",160
ISOMERASE(INTRAMOLECULAR OXIDOREDUCTASE),158
GLYCOPROTEIN,156
SIGNALING PROTEIN/INHIBITOR,155
oxidoreductase/oxidoreductase inhibitor,151
TRANSFERASE/TRANSCRIPTION,150
ANTIVIRAL PROTEIN,148
Viral protein/Immune system,144
Transferase/Transferase inhibitor,143
OXYGEN BINDING,143
Oxidoreductase/Oxidoreductase inhibitor,142
RIBOSOME,142
STRUCTURAL GENOMICS,140
OXYGEN STORAGE,140
transcription regulator,139
PROTON TRANSPORT,139
TRANSFERASE/TRANSFERASE inhibitor,138
Transcription regulator,137
CALCIUM-BINDING PROTEIN,135
CYTOKINE/CYTOKINE RECEPTOR,135
GROWTH FACTOR,135
Transferase/transferase inhibitor,132
IMMUNE SYSTEM/HYDROLASE,127
LIGAND BINDING PROTEIN,127
OXIDOREDUCTASE/INHIBITOR,126
BIOTIN BINDING PROTEIN,123
SERINE PROTEASE,123
LYASE/INHIBITOR,122
TRANSFERASE/PEPTIDE,121
hydrolase/antibiotic,119
ENDONUCLEASE,115
CHAPERONE/HYDROLASE,111
"TRANSFERASE, HYDROLASE",111
VIRUS/VIRAL PROTEIN,109
CIRCADIAN CLOCK PROTEIN,109
ANTITUMOR PROTEIN,108
Lyase/Lyase Inhibitor,108
ENTEROTOXIN,104
NUCLEOTIDYLTRANSFERASE,104
IMMUNE SYSTEM/INHIBITOR,102
HORMONE/GROWTH FACTOR RECEPTOR,102
"ELECTRON TRANSPORT, OXIDOREDUCTASE",101
TRANSCRIPTION/TRANSCRIPTION INHIBITOR,101
ANTIFREEZE PROTEIN,97
HYDROLASE/LIGASE,95
ligase/ligase inhibitor,94
AMINOTRANSFERASE,94
TRANSFERASE/SIGNALING PROTEIN,93
TRANSFERASE/PROTEIN BINDING,93
"OXYGEN STORAGE, OXYGEN TRANSPORT",92
SYNTHASE,90
LIGASE/SIGNALING PROTEIN,90
CELL ADHESION/IMMUNE SYSTEM,90
PROTEIN BINDING/INHIBITOR,89
viral protein/immune system,89
COMPLEX (SERINE PROTEASE/INHIBITOR),88
LIGASE/TRANSFERASE,88
TRANSCRIPTION ACTIVATOR,88
Viral Protein/Immune System,87
SIGNALING PROTEIN/PEPTIDE,87
"SIGNALING PROTEIN, TRANSFERASE",87
EXOCYTOSIS,86
CHOLINE-BINDING PROTEIN,85
"OXIDOREDUCTASE, TRANSFERASE",85
ACETYLCHOLINE BINDING PROTEIN,84
VIRAL PROTEIN/INHIBITOR,83
TRANSCRIPTION/INHIBITOR,82
TOXIN/IMMUNE SYSTEM,80
Acetylcholine-binding protein/agonist,80
TOXIN/ANTITOXIN,79
HISTOCOMPATIBILITY ANTIGEN,78
METHYLTRANSFERASE,76
ONCOPROTEIN,75
OXIDOREDUCTASE/TRANSFERASE,74
CALCIUM BINDING PROTEIN,73
HYDROLASE INHIBITOR/HYDROLASE,73
TRANSFERASE/CELL CYCLE,72
KINASE,70
SIGNALING PROTEIN/PROTEIN BINDING,70
TRANSPORT PROTEIN/IMMUNE SYSTEM,70
NEUROTOXIN,69
BINDING PROTEIN,69
SOLUTE-BINDING PROTEIN,69
HYDROLASE (SERINE PROTEINASE),68
TRANSCRIPTION/TRANSFERASE,68
OXIDOREDUCTASE/PROTEIN BINDING,68
ELECTRON TRANSFER,68
BLOOD COAGULATION,67
IMMUNE SYSTEM/PEPTIDE,67
"SIGNALING PROTEIN,TRANSFERASE",66
TRANSFERASE/STRUCTURAL PROTEIN,66
OXIDOREDUCTASE/OXIDOREDUCTASE inhibitor,66
MEMBRANE PROTEIN/ANTIBIOTIC,66
transcription/transcription inhibitor,66
INHIBITOR,66
LIGASE/VIRAL PROTEIN,66
LYASE(OXO-ACID),65
NEUROPEPTIDE,64
HYDROLASE ACTIVATOR,64
PROTEIN BINDING/TRANSFERASE,63
SIGNALING PROTEIN/IMMUNE SYSTEM,63
"Oxygen storage, Oxygen transport",62
IMMUNE SYSTEM/TOXIN,62
ACTIN-BINDING PROTEIN,62
LYASE/METAL BINDING PROTEIN,62
HYDROLASE/HYDROLASE SUBSTRATE,62
PHOTOSYNTHETIC REACTION CENTER,60
LYASE (CARBON-CARBON),60
HYDROLASE(ENDORIBONUCLEASE),60
LYASE/TRANSFERASE,60
OXIDOREDUCTASE/ANTIBIOTIC,59
IMMUNE SYSTEM/CYTOKINE,58
HYDROLASE/DE NOVO PROTEIN,58
"TRANSFERASE, LYASE",57
ANTIFUNGAL PROTEIN,57
HYDROLASE/TOXIN,56
"de novo protein, protein binding",56
CYTOKINE/IMMUNE SYSTEM,55
ASPARTYL PROTEASE,55
"IMMUNE SYSTEM, SUGAR BINDING PROTEIN",55
Biotin-binding protein,55
Immune system/agonist,54
"CIRCADIAN CLOCK PROTEIN, TRANSFERASE",54
Transferase/Inhibitor,54
COMPLEX (TRANSFERASE/PEPTIDE),54
HYDROLASE (PHOSPHORIC MONOESTER),54
VIRAL PROTEIN/IMMUNE SYSTEM/INHIBITOR,54
ANTITOXIN,54
MEMBRANE PROTEIN/EXOCYTOSIS,53
TRANSCRIPTION REPRESSOR,53
TRANSFERASE/TRANSFERASE Inhibitor,53
APOPTOSIS INHIBITOR,53
HORMONE RECEPTOR/PEPTIDE,52
CHAPERONE/PEPTIDE BINDING PROTEIN,52
RECOMBINATION/INHIBITOR,52
"OXIDOREDUCTASE, ELECTRON TRANSPORT",52
BLOOD CLOTTING/HYDROLASE INHIBITOR,52
SIGNALING PROTEIN/SIGNALING PROTEIN,51
STRUCTURAL PROTEIN/INHIBITOR,50
IMMUNE SYSTEM/RECEPTOR,50
CONTRACTILE PROTEIN/PROTEIN BINDING,50
"Structural Genomics, unknown function",50
CELL ADHESION/IMMUNE SYSTEM/PEPTIDE,50
FOUR HELIX BUNDLE,50
"ENDOCYTOSIS,EXOCYTOSIS",49
ATP SYNTHASE,49
SIGNALING PROTEIN/TRANSFERASE,49
HYDROLASE/HYDROLASE,49
TRANSFERASE/HYDROLASE,49
BIOSYNTHETIC PROTEIN/TRANSFERASE,48
COMPLEX (ISOMERASE/PEPTIDE),48
COMPLEX (OXIDOREDUCTASE/PEPTIDE),48
Immune System/Viral Protein,48
IRON STORAGE/ELECTRON TRANSPORT,48
"Structural genomics, Unknown function",48
Ligase/Ligase inhibitor,48
LIGASE/PROTEIN BINDING,48
"Oxidoreductase, Electron transport",48
HYDROLASE/HORMONE,48
"ISOMERASE, METAL-BINDING PROTEIN",48
Transcription Regulator,47
HYDROLASE/HYDROLASE REGULATOR,47
Virus/Receptor,46
COMPLEX (BIOTIN-BINDING PROTEIN/PEPTIDE),46
"MEMBRANE PROTEIN, PROTEIN TRANSPORT",46
TRANSFERASE/IMMUNE SYSTEM,46
TRANSFERASE/TRANSFERASE REGULATOR,46
HYDROLASE/STRUCTURAL PROTEIN,46
OXIDOREDUCTASE/METAL TRANSPORT,46
MUSCLE PROTEIN,45
TRANSPORT PROTEIN/SIGNALING PROTEIN,45
transport protein/immune system,45
OXYGEN STORAGE/Transport,45
IMMUNE SYSTEM/SIGNALING PROTEIN,44
RIM-BINDING PROTEIN,44
CATALYTIC ANTIBODY,44
Transferase/unknown function,44
"TRANSCRIPTION, TRANSFERASE",44
"TRANSFERASE, DNA BINDING PROTEIN",44
SIGNAL TRANSDUCTION,43
TRANSPORT PROTEIN/INHIBITOR,43
NUCLEAR RECEPTOR,42
"TRANSFERASE (CARBAMOYL-P,ASPARTATE)",42
DEHYDROGENASE,42
NUCLEAR TRANSPORT,42
VIRAL PROTEIN/PROTEIN BINDING,42
CELL CYCLE/SIGNALING PROTEIN,42
DNA BINDING PROTEIN/PROTEIN BINDING,42
IMMUNE SYSTEM/TRANSFERASE,42
IRON OXIDATION AND STORAGE,42
"CELL ADHESION, STRUCTURAL PROTEIN",42
Hydrolase/hydrolase inhibitor,42
HYDROLASE (SERINE ESTERASE),42
OXIDOREDUCTASE/PEPTIDE,42
GROWTH FACTOR/GROWTH FACTOR RECEPTOR,42
COMPLEX (SIGNAL TRANSDUCTION/PEPTIDE),42
HYDROLASE/BLOOD CLOTTING,42
MEMBRANE PROTEIN/TRANSPORT PROTEIN,41
Transferase/Antibiotic,41
"Structure Genomics, unknown function",41
APOPTOSIS/INHIBITOR,40
Hydrolase/Antibiotic,40
GLYCOSYLTRANSFERASE,40
Oxidoreductase/Electron transport,40
HYDROLASE/hydrolase inhibitor,39
"structure genomics, unknown function",39
CELL CYCLE/INHIBITOR,39
TRANSFERASE ACTIVATOR/TRANSFERASE,39
"HYDROLASE, TRANSFERASE",39
Transcription/Transferase,38
SERINE PROTEASE INHIBITOR,38
TRANSCRIPTION/TRANSCRIPTION inhibitor,38
CELL ADHESION/PROTEIN BINDING,38
RECEPTOR/TOXIN,38
TRANSFERASE/TRANSPORT PROTEIN,38
PORIN,38
lyase/lyase inhibitor,38
ANTIBIOTIC RESISTANCE,38
CHEMOTAXIS,37
STRUCTURAL PROTEIN/HYDROLASE,37
"HYDROLASE,OXIDOREDUCTASE",37
HYDROLASE/SIGNALING PROTEIN,37
TRANSFERASE/OXIDOREDUCTASE,37
SUGAR BINDING PROTEIN/INHIBITOR,37
"TRANSFERASE,TOXIN",37
Transferase/Signaling Protein,37
PROTEIN BINDING/IMMUNE SYSTEM,36
PEROXIDE RESISTANCE,36
Carbohydrate-binding protein,36
COUPLING PROTEIN,36
SIGNALING PROTEIN/Cytokine,36
Hydrolase Inhibitor,36
HEME-BINDING PROTEIN,36
Oxidoreductase/Structural Protein,36
GLYCOGEN PHOSPHORYLASE,36
LIGASE(AMIDE SYNTHETASE),36
"VIRAL PROTEIN, RECOMBINATION",36
transcription/antibiotic,36
TRANSFERASE/LIPID BINDING PROTEIN,36
Isomerase/Isomerase inhibitor,36
FLAVOENZYME,35
Transferase/Peptide,35
apoptosis/apoptosis inhibitor,35
Biotin binding protein,35
Ligase/Ligase Inhibitor,35
COMPLEX (ANTIBODY/ANTIGEN),35
CARBOHYDRATE-BINDING PROTEIN,34
COMPLEX (HYDROLASE/INHIBITOR),34
TRANSFERASE(PHOSPHOTRANSFERASE),34
VIRUS/RECEPTOR,34
CHEMOKINE,34
SIGNALING PROTEIN/HYDROLASE,34
"membrane protein, metal transport",34
protein transport/inhibitor,34
PROTEIN BINDING/METAL BINDING PROTEIN,34
VIRAL PROTEIN/Immune system,34
"TRANSLATION, TRANSFERASE",33
PROTEIN BINDING/HYDROLASE,33
APOPTOSIS/APOPTOSIS REGULATOR,33
CHAPERONE/PEPTIDE,33
"ISOMERASE, CHAPERONE",33
"Viral protein, hydrolase",33
Isomerase/Viral protein,32
Hydrolase/Transport protein,32
PROTEIN TRANSPORT/HYDROLASE,32
PROTEIN BINDING/PEPTIDE,32
biotin binding protein,32
CHAPERONE/PROTEIN BINDING,32
ANTIBODY,32
Hydrolase/Protein Binding,32
LYASE/LYASE inhibitor,32
protein binding/activator,32
MEMBRANE PROTEIN/HYDROLASE,32
protein binding/immune system,31
HYDROLASE/VIRAL PROTEIN,31
LIPOPROTEIN,31
"BLOOD CLOTTING, hydrolase",31
CELL DIVISION,31
IRON-BINDING PROTEIN,31
OXIDOREDUCTASE/Inhibitor,31
HYDROLASE RECEPTOR,31
HYDROLASE/HYDROLASE INHIBTIOR,31
SIGNALING PROTEIN/ANTAGONIST,31
RIBOFLAVIN SYNTHASE,30
"Transferase, Hydrolase",30
IMMUNE SYSTEM/CELL ADHESION,30
MEMBRANE PROTEIN/SIGNALING PROTEIN,30
METHANOGENESIS,30
STRUCTURAL PROTEIN/PROTEIN BINDING,30
TRANSFERASE/TRANSFERASE SUBSTRATE,30
Transport Protein/immune System,30
Toxin/CELL Adhesion,30
SIGNAL TRANSDUCTION PROTEIN,30
transport protein/inhibitor,30
LYASE(CARBON-CARBON),30
SIGNALING PROTEIN/TRANSCRIPTION,30
Hydrolase/Peptide,30
ELECTRON TRANSPORT/OXIDOREDUCTASE,30
Oxidoreductase/Inhibitor,30
SUGAR BINDING PROTEIN/IMMUNE SYSTEM,30
HEME BINDING PROTEIN,30
PROTEIN TRANSPORT/ANTIBIOTIC,30
HYDROLASE/TRANSFERASE,30
Acetylcholine-Binding Protein,30
HYDROLASE REGULATOR,29
TRANSCRIPTIONAL REGULATOR,29
"SIGNALING PROTEIN, IMMUNE SYSTEM",29
ION TRANSPORT,29
Hydrolase/Transport,29
MEMBRANE PROTEIN/IMMUNE SYSTEM,29
"LYASE, ISOMERASE",29
HYDROLASE/REPLICATION,29
GLYCOSIDASE,29
HYDROLASE(CARBOXYLIC ESTERASE),28
MULTICATALYTIC PROTEINASE,28
calcium-binding protein,28
HYDROLASE/CHAPERONE,28
LECTIN (AGGLUTININ),28
TRANSFERASE/TRANSFERASE ACTIVATOR,28
HYDRONLASE/HYDROLASE inhibitor,28
"membrane protein, hydrolase",28
"VIRAL PROTEIN, TRANSCRIPTION",28
CARBOHYDRATE-BINDING MODULE,28
REDUCTASE,28
NUCLEOTIDE BINDING PROTEIN,28
"TRANSCRIPTION,TRANSFERASE",28
TOXIN RECEPTOR/TOXIN,28
APOPTOSIS/APOPTOSIS INHIBITOR,28
TRANSPORT PROTEIN/PROTEIN BINDING,28
PROTEASE,28
"HYDROLASE, PROTEIN BINDING",28
"de novo protein, membrane protein",28
"METAL BINDING PROTEIN, hydrolase",28
SM-LIKE PROTEIN,28
TRANSCRIPTION/PEPTIDE,28
"Ligase, chaperone",28
"TRANSPORT PROTEIN, MEMBRANE PROTEIN",28
immune system/viral protein,28
CELL ADHESION/BLOOD CLOTTING,28
Isomerase/Isomerase Inhibitor,27
LYASE (OXO-ACID),27
CYTOKINE/SIGNALING PROTEIN,27
MEMBRANE PROTEIN/INHIBITOR,27
LEUCINE ZIPPER,27
HYDROLASE/RECEPTOR,27
RNA BINDING PROTEIN/TRANSCRIPTION,27
HYDROLASE(SERINE PROTEINASE),27
TRANSFERASE(AMINOTRANSFERASE),27
PROTEIN TRANSPORT/SIGNALING PROTEIN,27
Metal Binding Protein/inhibitor,27
Calcium-binding protein,27
MOLYBDENUM COFACTOR BIOSYNTHESIS,27
EYE LENS PROTEIN,27
Transcription/Inhibitor,27
PROTEASE INHIBITOR,27
PHOTOSYNTHESIS/ELECTRON TRANSPORT,26
"BIOSYNTHETIC PROTEIN, TRANSFERASE",26
HYDROLASE/DNA BINDING PROTEIN,26
CHAPERONE/CHAPERONE INHIBITOR,26
OXIDOREDUCTASE (CYTOCHROME(C)-OXYGEN),26
CELL ADHESION PROTEIN,26
IMMUNE SYSTEM/TRANSPORT PROTEIN,26
Signaling Protein/Peptide,26
SURFACE ACTIVE PROTEIN,26
transferase/peptide,26
OXYGEN TRANSPORT/PROTEIN BINDING,26
Hydrolase/Immune system,26
OXIDOREDUCTASE (SUPEROXIDE ACCEPTOR),26
OXIDOREDUCTASE(NAD(A)-CHOH(D)),26
"OXIDOREDUCTASE, LYASE",25
"HYDROLASE, IMMUNE SYSTEM",25
TRANSCRIPTION FACTOR,25
MAJOR HISTOCOMPATIBILITY COMPLEX,25
TRANSPORT PROTEIN/TOXIN,25
DNA-BINDING,25
HYDROLASE (SERINE PROTEASE),25
"Transport protein, Membrane protein",25
"HYDROLASE, OXIDOREDUCTASE",24
OXIDOREDUCTASE(OXYGENASE),24
"METAL BINDING PROTEIN, Oxidoreductase",24
Hydrolase/Inhibitor,24
"TRANSCRIPTION,HYDROLASE",24
CONTRACTILE PROTEIN/PEPTIDE,24
VIRAL PROTEIN/Immune System,24
DNA binding protein/protein binding,24
Hydrolase/antibiotic,24
Cytokine/Immune System,24
Transferase/Protein Binding,24
"PROTON TRANSPORT,MEMBRANE PROTEIN",24
PEPTIDE BINDING PROTEIN/PROTEIN BINDING,24
SIGNALING PROTEIN/SIGNALING ACTIVATOR,24
ANTI-ONCOGENE,24
TRANSFERASE/DNA BINDING PROTEIN,24
CARBOHYDRATE BINDING PROTEIN,24
"Transcription, Peptide binding protein",24
IRON BINDING PROTEIN,24
Immune system/transcription,24
OXIDOREDUCTASE/electron transport,24
STORAGE PROTEIN,24
"HYDROLASE, SIGNALING PROTEIN",24
Membrane Protein/Immune System,24
HELICASE,23
METAL BINDING PROTEIN/TRANSFERASE,23
TRANSFERASE/RIBOSOMAL PROTEIN,23
HYDROLASE(SERINE PROTEASE),23
hormone/growth factor,23
Hydrolase/DNA binding Protein,23
SIGNALING PROTEIN/METAL BINDING PROTEIN,23
PRION PROTEIN,23
TOXIN/TOXIN REPRESSOR,23
DNA REPAIR,23
DNA INTEGRATION,23
PHOSPHORIBOSYLTRANSFERASE,23
SIGNALING PROTEIN/CELL ADHESION,23
PENICILLIN-BINDING PROTEIN,23
LIGASE/PEPTIDE,22
OXIDOREDUCTASE(CHOH(D)-NAD(A)),22
TRANSFERASE (METHYLTRANSFERASE),22
Oxidoreductase/Oxidoreductase Inhibitor,22
"IMMUNE SYSTEM, MEMBRANE PROTEIN",22
HYDROLASE (PHOSPHORIC DIESTER),22
CHAPERONE/STRUCTURAL PROTEIN,22
VIRAL PROTEIN/CELL ADHESION,22
TRANSCRIPTION/TOXIN,22
COMPLEX (MHC I/PEPTIDE),22
RNA-BINDING ATTENUATION PROTEIN,22
RNA POLYMERASE,22
IMMUNE SYSTEM/CHAPERONE,22
"TRANSFERASE, HYDROLASE/INHIBITOR",22
"ISOMERASE, HYDROLASE",22
TRANSFERASE/ISOMERASE,22
PROTEIN BINDING/TRANSPORT PROTEIN,22
CHROMOSOME SEGREGATION,22
PROTEIN BINDING/SIGNALING PROTEIN,22
ONCOGENE PROTEIN,22
IMMUNE SYSTEM RECEPTOR,22
COAGULATION FACTOR,22
TRANSCRIPTION/PROTEIN BINDING,22
CHAPERONIN,22
SIGNALING PROTEIN/LIGASE,22
"STRUCTURAL PROTEIN, SIGNALING PROTEIN",22
HALOPEROXIDASE,22
TRANSPORT PROTEIN/HYDROLASE,21
"RNA BINDING PROTEIN, transcription",21
membrane protein/metal transport,21
TRANSFERASE(GLUTATHIONE),21
DNA BINDING PROTEIN/APOPTOSIS,21
TRANSFERASE/TRANSFERASE RECEPTOR,21
HYDROLASE (ACID PROTEASE),21
PROTEIN BINDING/PROTEIN BINDING,21
ISOMERASE/TRANSFERASE,21
"TRANSFERASE, CELL CYCLE",21
TRANSCRIPTION/TRANSCRIPTION ACTIVATOR,21
HYDROLASE/Hydrolase Inhibitor,21
Calcium-BINDING PROTEIN,21
ATTRACTANT,21
hydrolase/protein binding,21
PROTEIN FOLDING,21
"STRUCTURAL GENOMICS,UNKNOWN FUNCTION",21
HORMONE/SIGNALING PROTEIN,21
"HYDROLASE, MEMBRANE PROTEIN",21
"STRUCTURAL PROTEIN, PROTEIN BINDING",21
Blood Clotting/Hydrolase Inhibitor,21
"TRANSFERASE, TRANSCRIPTION",21
carboxysome,21
ANTIMICROBIAL PEPTIDE,21
GTP-BINDING PROTEIN,21
LUMINESCENCE,21
SH3 DOMAIN,21
ENDORIBONUCLEASE,21
PHOTORECEPTOR,21
"HYDROLASE(PHOSPHORIC DIESTER,RNA)",21
"OXIDOREDUCTASE, VIRAL PROTEIN",21
COMPLEX (GROEL/GROES),21
OXIDOREDUCTASE (NAD(A)-CHOH(D)),21
ATP PHOSPHORYLASE,21
"LYASE,METAL BINDING PROTEIN",20
CARBOXYPEPTIDASE,20
PROTEIN BINDING/PROTEIN TRANSPORT,20
"OXIDOREDUCTASE, TRANSFERASE/INHIBITOR",20
OXIDOREDUCTASE/IMMUNE SYSTEM,20
HYDROLASE(ACID PROTEINASE),20
ATP-BINDING PROTEIN,20
Transcription/MEMBRANE PROTEIN,20
IMMUNE RESPONSE,20
TRANSPORT(THYROXINE),20
VIRAL PROTEIN/immune system,20
GTP-binding protein/transport protein,20
transferase/antibiotic,20
PERIPLASMIC BINDING PROTEIN,20
IMMUNE SYSTEM/OXIDOREDUCTASE,20
PROTEIN TRANSPORT/PROTEIN BINDING,20
OUTER MEMBRANE PROTEIN,20
PROTEIN TRANSPORT/LIGASE,20
DNA REPLICATION,20
Hydrolase/Cell Adhesion,20
SYNTHETIC PEPTIDE,20
SERINE PROTEINASE,20
TRANSFERASE/HYDROLASE/INHIBITOR,20
CELL CYCLE/Peptide,20
STRUCTURAL PROTEIN/VIRUS LIKE PARTICLE,20
Hydrolase/Hormone,20
"SIGNALING PROTEIN, PROTEIN BINDING",20
Membrane protein/Immune system,20
Viral Protein/Inhibitor,20
"BIOSYNTHETIC PROTEIN, RNA BINDING",20
VIRAL PROTEIN/PEPTIDE,20
immune system/inhibitor,20
TRANSFERASE (AMINOTRANSFERASE),20
HORMONE/HORMONE RECEPTOR,20
IMMUNE SYSTEM/ANTIGEN,19
Carbohydrate Binding Protein,19
MATRIX PROTEIN,19
"cell cycle, transcription",19
TRANSCRIPTIONAL STIMULATOR,19
Calcium binding protein,19
LYMPHOKINE,19
DEHALOGENASE,19
LIGASE/DNA BINDING PROTEIN,19
METALLOPROTEASE,19
HYDROLASE(PHOSPHORIC MONOESTER),19
MOTOR PROTEIN/SIGNALING PROTEIN,18
PROTEIN BINDING/LIGASE,18
"TRANSPORT PROTEIN, RECEPTOR",18
"TRANSPORT PROTEIN, OXYGEN BINDING",18
APOPTOSIS/peptide,18
"TRANSFERASE, OXIDOREDUCTASE",18
PEPTIDE/ANTIBIOTIC,18
PHOTOSYNTHESIS/MEMBRANE PROTEIN,18
ATP binding protein,18
Transport protein/toxin,18
OXIDOREDUCTASE/REPRESSOR,18
signaling protein/inhibitor,18
Signaling Protein/Immune System,18
"Antimicrobial protein, viral protein",18
Endocytosis/exocytosis,18
LIPID DEGRADATION,18
"CHAPERONE, PROTEIN TRANSPORT",18
Immune system/Hydrolase,18
"STRUCTURAL PROTEIN, VIRAL PROTEIN",18
Oxidoreductase/electron transport,18
HORMONE RECEPTOR/HORMONE/IMMUNE SYSTEM,18
HYDROLASE(PHOSPHORIC DIESTER),18
"Hydrolase, Apoptosis",18
"Ligase, Apoptosis",18
MEMBRANE TRANSPORT,18
METAL BINDING PROTEIN/SIGNALING PROTEIN,18
PRESYNAPTIC NEUROTOXIN,18
CONTRACTILE PROTEIN/TRANSPORT PROTEIN,18
ANTIBIOTIC/PEPTIDE,18
hydrolase inhibitor,18
HYDROLASE/SIGNALING PROTEIN/LIGASE,18
TRANSFERASE/VITAMIN-BINDING PROTEIN,18
AMIDASE,18
Transferase/Transcription,18
PEPTIDASE,18
"CELL CYCLE, LIGASE",18
SIGNALLING PROTEIN,18
PROTEIN TRANSPORT/TRANSCRIPTION,18
"TOXIN,LYASE/METAL BINDING PROTEIN",18
PROTEIN TRANSLOCATION,18
Ligase/protein binding,18
protein binding/peptide,18
"tranport protein, membrane protein",18
VIRAL PROTEIN/VIRAL PROTEIN INHIBITOR,18
CHAPERONE/TRANSCRIPTION INHIBITOR,18
PROTEIN TRANSPORT / NUCLEAR PROTEIN,18
APOPTOSIS/HYDROLASE,18
HYDROLASE(ACID PROTEASE),18
RAN-BINDING PROTEIN,18
"MEMBRANE PROTEIN, PHOTOSYNTHESIS",18
hormone receptor,18
"PROTEIN BINDING, SIGNALING PROTEIN",18
METALLOTHIONEIN,17
CONTRACTILE PROTEIN/STRUCTURAL PROTEIN,17
COPPER-BINDING PROTEIN,17
Chaperone/Chaperone inhibitor,17
HYDROGENASE,17
"VIRAL PROTEIN, HYDROLASE",17
REGULATOR OF COMPLEMENT PATHWAY,17
"Membrane protein, Hormone",17
Hydrolase inhibitor,17
OXO-ACID-LYASE,17
isomerase/isomerase inhibitor,17
"SIGNALING PROTEIN, HYDROLASE",17
TRANSCRIPTION/CELL CYCLE,17
ADHESIN,17
PROTEIN TRANSPORT/TRANSFERASE,17
PROTEINASE INHIBITOR,17
TOXIN INHIBITOR,17
CARBON-OXYGEN LYASE,17
"HEME BINDING PROTEIN, TRANSPORT PROTEIN",17
HYPOTHETICAL PROTEIN,17
"cytokine, Isomerase",17
